ds_name,qid,oracle_alpha,oracle_ndcg
scifact,1,0.0,0.0
scifact,100,0.14,1.0
scifact,1012,0.0,1.0
scifact,1014,0.0,1.0
scifact,1019,0.0,0.6309297535714575
scifact,1020,0.0,0.6309297535714575
scifact,1021,0.0,0.6309297535714575
scifact,1024,0.26,1.0
scifact,1029,0.0,0.8886164761813452
scifact,1041,0.8200000000000001,0.448643819352159
scifact,1049,0.0,0.43067655807339306
scifact,1062,0.0,1.0
scifact,1086,0.0,1.0
scifact,1088,0.0,1.0
scifact,1089,0.0,1.0
scifact,1099,0.0,0.2890648263178879
scifact,1100,0.0,0.43067655807339306
scifact,1104,0.0,1.0
scifact,1107,0.51,1.0
scifact,1110,0.0,0.21274605355336318
scifact,1121,0.19,1.0
scifact,113,0.0,1.0
scifact,1130,0.0,1.0
scifact,1132,0.0,0.7631539858737962
scifact,1137,0.0,0.6309297535714575
scifact,1140,0.05,1.0
scifact,1144,0.0,1.0
scifact,1146,0.0,1.0
scifact,115,0.0,1.0
scifact,1150,0.0,1.0
scifact,1163,0.0,1.0
scifact,1175,0.0,0.0
scifact,1179,0.0,0.0
scifact,118,0.0,1.0
scifact,1180,0.0,1.0
scifact,1185,0.0,1.0
scifact,1187,0.5,1.0
scifact,1191,0.0,0.20184908658209985
scifact,1194,0.0,1.0
scifact,1196,0.0,0.5
scifact,1197,0.0,0.5
scifact,1199,0.0,0.0
scifact,1200,0.0,0.23981246656813146
scifact,1202,0.0,1.0
scifact,1204,0.0,1.0
scifact,1207,0.0,1.0
scifact,1213,0.0,0.0
scifact,1216,0.0,1.0
scifact,1221,0.0,1.0
scifact,1225,0.0,1.0
scifact,1226,0.0,0.0
scifact,1232,0.0,1.0
scifact,124,0.0,1.0
scifact,1241,0.0,1.0
scifact,1245,0.0,0.3562071871080222
scifact,1259,0.0,1.0
scifact,1262,0.0,1.0
scifact,1266,0.27,1.0
scifact,127,0.0,1.0
scifact,1270,0.0,1.0
scifact,1271,0.0,1.0
scifact,1272,0.0,0.1905514124267734
scifact,1273,0.0,1.0
scifact,1274,0.41000000000000003,0.9325210919548239
scifact,1278,0.2,0.20184908658209985
scifact,1279,0.08,0.6309297535714575
scifact,128,0.0,0.0
scifact,1280,0.0,0.15442266280111014
scifact,1281,0.0,0.0
scifact,1282,0.0,1.0
scifact,129,0.0,1.0
scifact,1290,0.0,1.0
scifact,1292,0.0,1.0
scifact,1298,0.0,1.0
scifact,13,0.0,0.3333333333333333
scifact,130,0.0,1.0
scifact,1303,0.0,1.0
scifact,1316,0.0,0.1605440854340214
scifact,1319,0.0,1.0
scifact,132,0.9,0.15957141566993818
scifact,1320,0.0,1.0
scifact,133,0.08,0.6931224645798055
scifact,1332,0.0,0.0
scifact,1335,0.51,1.0
scifact,1336,0.51,1.0
scifact,1337,0.27,1.0
scifact,1339,0.0,1.0
scifact,1344,0.0,0.6309297535714575
scifact,1352,0.0,1.0
scifact,1359,0.0,1.0
scifact,1362,0.0,0.0
scifact,1363,0.0,0.0
scifact,1368,0.0,0.5
scifact,137,0.0,1.0
scifact,1370,0.11,0.43067655807339306
scifact,1379,0.0,0.9058653015743079
scifact,1382,0.0,1.0
scifact,1385,0.21,1.0
scifact,1389,0.0,1.0
scifact,1395,0.0,1.0
scifact,141,0.0,0.9197207891481876
scifact,142,0.0,1.0
scifact,143,0.0,1.0
scifact,146,0.0,1.0
scifact,148,0.33,1.0
scifact,163,0.51,1.0
scifact,171,0.0,1.0
scifact,179,0.0,0.9619991470595832
scifact,180,0.0,1.0
scifact,183,0.76,1.0
scifact,185,0.76,1.0
scifact,198,0.0,0.20801459767650948
scifact,208,0.0,1.0
scifact,212,0.0,1.0
scifact,213,0.03,0.38685280723454163
scifact,216,0.0,1.0
scifact,217,0.0,1.0
scifact,218,0.0,1.0
scifact,219,0.0,1.0
scifact,230,0.0,1.0
scifact,232,0.0,1.0
scifact,233,0.0,1.0
scifact,236,0.0,1.0
scifact,237,0.68,0.6309297535714575
scifact,238,0.0,0.5
scifact,239,0.22,1.0
scifact,248,0.0,1.0
scifact,249,0.0,1.0
scifact,261,0.8300000000000001,0.8175295903539445
scifact,268,0.27,1.0
scifact,269,0.52,1.0
scifact,274,0.0,1.0
scifact,275,0.09,0.7495144888820642
scifact,279,0.0,1.0
scifact,294,0.5700000000000001,0.6309297535714575
scifact,295,0.78,1.0
scifact,298,0.0,1.0
scifact,3,0.5,1.0
scifact,300,0.43,0.5
scifact,303,0.88,0.43067655807339306
scifact,312,0.98,0.38685280723454163
scifact,314,0.85,1.0
scifact,324,0.0,0.0
scifact,327,0.0,1.0
scifact,338,0.0,1.0
scifact,343,0.09,1.0
scifact,350,0.0,1.0
scifact,354,0.0,1.0
scifact,36,0.0,0.37169423500952875
scifact,362,0.03,1.0
scifact,380,0.0,1.0
scifact,384,0.47000000000000003,0.227670248696953
scifact,385,0.96,0.6934264036172708
scifact,386,0.0,1.0
scifact,388,0.11,0.6309297535714575
scifact,399,0.0,1.0
scifact,410,0.0,1.0
scifact,411,0.0,1.0
scifact,415,0.35000000000000003,0.3333333333333333
scifact,42,0.0,1.0
scifact,421,0.0,0.27023815442731974
scifact,431,0.0,0.23540891336663824
scifact,436,0.0,1.0
scifact,437,0.0,0.0
scifact,439,0.0,1.0
scifact,440,0.0,1.0
scifact,443,0.0,1.0
scifact,452,0.0,0.36923177405559165
scifact,475,0.21,0.43067655807339306
scifact,478,0.36,0.43067655807339306
scifact,48,0.55,1.0
scifact,49,0.0,1.0
scifact,491,0.0,1.0
scifact,5,0.0,1.0
scifact,50,0.0,1.0
scifact,501,0.06,1.0
scifact,502,0.0,0.0
scifact,507,0.0,0.6309297535714575
scifact,508,0.29,0.26264953503719357
scifact,51,0.0,1.0
scifact,513,0.0,0.6309297535714575
scifact,514,0.0,1.0
scifact,516,0.0,1.0
scifact,517,0.74,0.1810425967800402
scifact,521,0.6,1.0
scifact,525,0.0,1.0
scifact,527,0.05,1.0
scifact,528,0.0,1.0
scifact,53,0.0,1.0
scifact,532,0.0,1.0
scifact,533,0.05,1.0
scifact,535,0.0,0.3010299956639812
scifact,536,0.0,1.0
scifact,539,0.0,1.0
scifact,54,0.0,0.43067655807339306
scifact,540,0.49,0.7317460491501064
scifact,544,0.0,0.3562071871080222
scifact,549,0.09,1.0
scifact,551,0.12,0.6309297535714575
scifact,552,0.0,1.0
scifact,554,0.03,0.6309297535714575
scifact,56,0.0,1.0
scifact,560,0.0,0.0
scifact,569,0.0,1.0
scifact,57,0.0,1.0
scifact,575,0.03,1.0
scifact,577,0.0,0.5
scifact,578,0.0,1.0
scifact,587,0.05,1.0
scifact,589,0.0,1.0
scifact,593,0.0,1.0
scifact,597,0.06,1.0
scifact,598,0.34,0.5
scifact,613,0.0,1.0
scifact,619,0.88,0.6131471927654584
scifact,623,0.0,0.3010299956639812
scifact,628,0.0,1.0
scifact,636,0.0,1.0
scifact,637,0.04,0.43067655807339306
scifact,641,0.0,0.9197207891481876
scifact,644,0.72,1.0
scifact,649,0.04,0.6309297535714575
scifact,659,0.85,0.31546487678572877
scifact,660,0.0,0.0
scifact,674,0.51,1.0
scifact,684,0.27,0.6309297535714575
scifact,690,0.0,1.0
scifact,691,0.0,1.0
scifact,692,0.35000000000000003,0.43067655807339306
scifact,693,0.0,1.0
scifact,70,0.9400000000000001,1.0
scifact,700,0.0,0.6309297535714575
scifact,702,0.0,0.5
scifact,715,0.39,0.43067655807339306
scifact,716,0.0,0.0
scifact,718,0.0,1.0
scifact,72,0.03,1.0
scifact,721,0.0,1.0
scifact,723,0.0,1.0
scifact,727,0.48,0.31546487678572877
scifact,728,0.72,0.8503449055347546
scifact,729,0.03,1.0
scifact,742,0.0,1.0
scifact,743,0.0,1.0
scifact,744,0.51,0.6309297535714575
scifact,75,0.0,1.0
scifact,756,0.0,0.6309297535714575
scifact,759,0.0,1.0
scifact,768,0.0,0.0
scifact,770,0.0,1.0
scifact,775,0.9400000000000001,0.15602106502222501
scifact,781,0.0,1.0
scifact,783,0.0,0.22424382421757544
scifact,784,0.04,1.0
scifact,785,0.62,0.6309297535714575
scifact,793,0.03,1.0
scifact,800,0.0,0.5
scifact,805,0.0,1.0
scifact,808,0.0,1.0
scifact,811,0.0,1.0
scifact,814,0.0,1.0
scifact,820,0.51,0.3562071871080222
scifact,821,0.96,0.26264953503719357
scifact,823,0.0,1.0
scifact,830,0.91,0.27894294565112987
scifact,831,0.65,0.21274605355336318
scifact,832,0.0,1.0
scifact,834,0.97,0.3333333333333333
scifact,837,0.0,1.0
scifact,839,0.21,1.0
scifact,845,0.85,1.0
scifact,847,0.5,1.0
scifact,852,0.14,0.6309297535714575
scifact,859,0.51,1.0
scifact,870,0.0,0.19823986317056053
scifact,873,0.0,0.5857000393474421
scifact,879,0.0,1.0
scifact,880,0.0,1.0
scifact,882,0.0,1.0
scifact,887,0.0,0.0
scifact,903,0.0,1.0
scifact,904,0.0,1.0
scifact,907,0.0,1.0
scifact,911,0.0,1.0
scifact,913,0.0,0.21810429198553155
scifact,914,0.0,0.1965616322328226
scifact,921,0.0,1.0
scifact,922,0.0,1.0
scifact,936,0.0,1.0
scifact,94,0.8,0.3333333333333333
scifact,956,0.03,1.0
scifact,957,0.0,1.0
scifact,960,0.0,1.0
scifact,967,0.0,1.0
scifact,971,0.19,0.7397466333385988
scifact,975,0.0,0.16370565544521565
scifact,982,0.26,1.0
scifact,985,0.0,1.0
scifact,99,0.62,1.0
scifact,993,0.0,1.0
nfcorpus,PLAIN-1008,0.0,0.0
nfcorpus,PLAIN-1018,0.06,0.214668486802358
nfcorpus,PLAIN-102,0.15,0.2908544816520615
nfcorpus,PLAIN-1039,0.0,1.0
nfcorpus,PLAIN-1050,0.56,0.03355513608307137
nfcorpus,PLAIN-1098,0.0,0.14068203760681552
nfcorpus,PLAIN-1109,0.28,0.2503059977699123
nfcorpus,PLAIN-1119,0.0,0.0
nfcorpus,PLAIN-112,0.0,0.40993254136714513
nfcorpus,PLAIN-1130,0.0,1.0
nfcorpus,PLAIN-1151,0.56,0.33077755413828036
nfcorpus,PLAIN-1161,0.0,0.0
nfcorpus,PLAIN-1172,0.0,0.17306939418612421
nfcorpus,PLAIN-1183,0.0,0.2314601109344812
nfcorpus,PLAIN-1193,0.53,0.3177776392202504
nfcorpus,PLAIN-12,0.2,0.3580262188547208
nfcorpus,PLAIN-1203,0.04,0.4069776470103719
nfcorpus,PLAIN-1214,0.0,0.029041021384678272
nfcorpus,PLAIN-1225,0.53,0.5073540936431606
nfcorpus,PLAIN-123,0.11,0.1557872179518359
nfcorpus,PLAIN-1236,0.0,0.3391602052736161
nfcorpus,PLAIN-1249,0.0,0.0
nfcorpus,PLAIN-1262,0.06,0.3647120766687434
nfcorpus,PLAIN-1275,0.16,0.276383730276715
nfcorpus,PLAIN-1288,0.27,0.27706591340740006
nfcorpus,PLAIN-1299,0.38,0.11474362608716737
nfcorpus,PLAIN-1309,0.0,0.0
nfcorpus,PLAIN-1320,0.9400000000000001,0.601312434202259
nfcorpus,PLAIN-133,0.41000000000000003,0.09542705554416187
nfcorpus,PLAIN-1331,0.0,0.0
nfcorpus,PLAIN-1342,0.18,0.4076649237370864
nfcorpus,PLAIN-1353,0.0,0.0
nfcorpus,PLAIN-1363,0.15,0.2857974171337172
nfcorpus,PLAIN-1374,0.99,0.13811304121193485
nfcorpus,PLAIN-1387,0.54,0.7056576269571118
nfcorpus,PLAIN-1398,0.01,0.4769164935332329
nfcorpus,PLAIN-1409,0.0,0.3473971940871715
nfcorpus,PLAIN-1419,0.09,0.21395984027672163
nfcorpus,PLAIN-1429,0.0,0.0
nfcorpus,PLAIN-143,0.11,0.40439200744975384
nfcorpus,PLAIN-1441,0.04,0.3375723633492907
nfcorpus,PLAIN-1453,0.65,0.34114731298833406
nfcorpus,PLAIN-1463,0.65,0.37008497224042664
nfcorpus,PLAIN-1473,0.0,1.0
nfcorpus,PLAIN-1485,0.0,0.04692853939637349
nfcorpus,PLAIN-1496,0.0,0.0
nfcorpus,PLAIN-1506,0.0,0.10764243204553911
nfcorpus,PLAIN-1516,0.0,0.0
nfcorpus,PLAIN-1527,0.43,0.41792522808843124
nfcorpus,PLAIN-153,0.12,0.5660903511323372
nfcorpus,PLAIN-1537,0.0,0.2849288872534655
nfcorpus,PLAIN-1547,0.0,0.0
nfcorpus,PLAIN-1557,0.6,0.16578654749937008
nfcorpus,PLAIN-1568,0.58,1.0
nfcorpus,PLAIN-1579,0.51,0.3391602052736161
nfcorpus,PLAIN-1590,0.93,0.20805224831259952
nfcorpus,PLAIN-1601,0.14,0.36759393719604544
nfcorpus,PLAIN-1611,0.0,0.0
nfcorpus,PLAIN-1621,0.0,0.0
nfcorpus,PLAIN-1635,0.17,0.6703130632863612
nfcorpus,PLAIN-1645,0.47000000000000003,0.30260241349881345
nfcorpus,PLAIN-165,0.0,0.43423882676141223
